Num_Features,MAE
10,154.4181753853317
20,141.85342813841092
30,136.01596021730467
40,132.08631017412768
50,132.9622386704308
60,131.28778850874212
70,129.02166609806338
80,126.15355820293061
90,127.07418337608344
137,125.8823088389253
187,124.33519766531039
237,124.652912926637
287,124.98457630465714
337,124.4201037502863
387,124.67121826970448
437,125.07403187243857
487,124.57038667571712
537,124.06463875025497
587,124.56446737638863
637,124.20622360659851
687,123.96453464122413
737,124.23722991502916
787,124.31779281619635
837,124.41801815258793
887,124.16653381318004
937,124.1148054483887
